Institution Name	Institution Symbol	Institution State	Library Type	Requests Received	Requests From WorldCat	Requests Canceled	Requests Filled	Requests Filled (Loan)	Requests Filled (Copy)	Requests Unfilled	Electronic Link	Average Turnaround Time For Filled Requests (dd:hh:mm)	Average Turnaround Time For Loan Filled Requests (dd:hh:mm)	Average Turnaround Time For Copy Filled Requests (dd:hh:mm)
AUBREY AREA LIBR	TXAAL	TX	Public	1	0	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
AURORA PUB LIBR	JSE	IL	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
AUSTIN MEMORIAL LIBR	AMLJL	TX	Schools Below College Level	1	0	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
AVON LAKE PUB LIBR	OH9WF	OH	Public	0	0	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
BALL STATE UNIV LIBR	IBS	IN	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
BANGOR PUB LIBR	BYN	ME	Public	3	3	0	1	1	0	2	0	0:00:00	0:00:00	0:00:00
BARTHOLOMEW CNTY PUB LIBR	INB	IN	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
BARTLETT PUB LIBR	JSQ	IL	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
BATES COL	BTS	ME	Academic	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
BEACON COL LIBR	BCK	FL	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
BEAVERTON CITY LIBR	OXO	OR	Public	16	16	0	9	9	0	7	0	0:10:34	0:10:34	0:00:00
BELGRADE COMMUN LIBRARY	YZS	MT	Public	2	2	0	2	2	0	0	0	0:00:00	0:00:00	0:00:00
BELLINGHAM PUB LIBR	BLP	WA	Public	17	17	0	9	9	0	8	0	0:07:55	0:07:55	0:00:00
BELOIT COL LIBR	WII	WI	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
BEMIDJI STATE UNIV	MNB	MN	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
BENBROOK PUB LIBR	BENPL	TX	Public	2	0	0	1	1	0	1	0	2:00:00	2:00:00	0:00:00
BENTLEY UNIV LIBR	BET	MA	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
BIG BEND COMMUN COL LIBR	Z$3	WA	Academic	1	1	0	1	1	0	0	0	1:00:00	1:00:00	0:00:00
BIG LAKE PUB LIBR	XZX	AK	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
BIRMINGHAM-JEFFERSON PUB LIBR	ABJ	AL	Public	2	2	0	1	1	0	1	0	0:00:00	0:00:00	0:00:00
BITTERROOT PUB LIBR	Y46	MT	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
BLACKFOOT PUB LIBR	BLFPL	ID	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
BLACKWATER REG LIBR	PGD	VA	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
BLOOMINGTON PUB LIBR	JCH	IL	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
BOCES, WASHINGTON-SARATOGA-WARREN-ESSEX	VTY	NY	Schools Below College Level	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
BOISE PUB LIBR	OEK	ID	Public	3	3	0	2	2	0	1	0	0:00:00	0:00:00	0:00:00
BOISE STATE UNIV	OIP	ID	Academic	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
BOONE CNTY PUB LIBR	KYB	KY	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
BOSTON COL	BXM	MA	Academic	13	13	0	2	2	0	11	0	0:12:00	0:12:00	0:00:00
BOSTON PUB LIBR	BRL	MA	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
BOULDER COMMUN LIBR	BLQ	MT	Public	3	3	0	0	0	0	3	0	0:00:00	0:00:00	0:00:00
BOUNDARY CNTY DIST LIBR	ZVN	ID	Public	1	1	0	1	1	0	0	0	4:00:00	4:00:00	0:00:00
BOURBONNAIS PUB LIBR DIST	OD9	IL	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
BOZEMAN PUB LIBR	MZG	MT	Public	5	5	0	1	1	0	4	0	0:00:00	0:00:00	0:00:00
BRIGHAM YOUNG UNIV IDAHO	RIC	ID	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
BRIGHAM YOUNG UNIV PROVO	UBY	UT	Major Academic Research	25	25	0	4	4	0	21	0	0:06:00	0:06:00	0:00:00
BRISTOL COMMUN COL	BRC	MA	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
BROOKLYN PUB LIBR	BKL	NY	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
BROWARD CNTY LIBRS DIV	FBR	FL	Public	8	8	0	1	1	0	7	0	1:00:00	1:00:00	0:00:00
BUCKS CNTY FREE LIBR	DPB	PA	Public	1	1	0	1	1	0	0	0	1:00:00	1:00:00	0:00:00
BUFFALO & ERIE CNTY PUB LIBR	VHB	NY	Public	4	4	0	0	0	0	4	0	0:00:00	0:00:00	0:00:00
BUNCOMBE CNTY PUB LIBRS	UZR	NC	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
BURLESON PUB LIBR	BPE	TX	Public	1	0	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
BUTLER UNIV	IIB	IN	Academic	2	2	0	2	2	0	0	0	0:00:00	0:00:00	0:00:00
BUTTE-SILVER BOW PUB LIBR	MZE	MT	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
CAL POLY HUMBOLDT	CHU	CA	Academic	2	2	0	1	1	0	1	0	0:00:00	0:00:00	0:00:00
CALIFORNIA POLYTECHNIC STATE UNIV SAN L	CPS	CA	Academic	8	8	0	3	3	0	5	0	0:00:00	0:00:00	0:00:00
CALIFORNIA STATE UNIV CHICO	CCH	CA	Academic	3	3	0	1	1	0	2	0	2:00:00	2:00:00	0:00:00
CALIFORNIA STATE UNIV FRESNO STATE LIBR	CFS	CA	Academic	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
CALIFORNIA STATE UNIV FULLERTON	CFI	CA	Academic	4	4	0	1	1	0	3	0	0:00:00	0:00:00	0:00:00
CALIFORNIA STATE UNIV MONTEREY BAY	MB@	CA	Academic	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
CALIFORNIA STATE UNIV NORTHRIDGE	CNO	CA	Academic	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
CALIFORNIA STATE UNIV SAN BERNARDINO LI	CSB	CA	Academic	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
CALIFORNIA STATE UNIV SAN MARCOS	CS1	CA	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
CALIFORNIA STATE UNIV STANISLAUS	CTU	CA	Academic	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
CALIFORNIA STATE UNIV-LONG BEACH LIBR	CLO	CA	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
CALIFORNIA STATE UNIV-SACRAMENTO LIBR	CSA	CA	Academic	3	3	0	0	0	0	3	0	0:00:00	0:00:00	0:00:00
CAMAS PUB LIBR	Z#6	WA	Public	0	0	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
CAMPBELL CNTY PUB LIBR	WYG	WY	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
CARNEGIE LIBR OF PITTSBURGH	CPL	PA	Public	3	3	0	1	1	0	2	0	0:00:00	0:00:00	0:00:00
CAROL STREAM PUB LIBR	JST	IL	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
CARROLL CNTY PUB LIBR	CKW	MD	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
CARROLL UNIV	GZB	WI	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
CASE WESTERN RSV UNIV, LAW LIBR	CWL	OH	Academic	2	2	0	1	1	0	1	0	0:00:00	0:00:00	0:00:00
CASTLE DALE BRANCH EMERY CNTY LIBR	CDECL	UT	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
CEDAR MILL COMMUN LIBR	OXD	OR	Public	11	11	0	8	8	0	3	0	0:09:07	0:09:07	0:00:00
CEDAR PARK PUB LIBR	XZ7	TX	Public	2	0	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
CENTRAL MICHIGAN UNIV	EZC	MI	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
CENTRAL OREGON COMMUN COL LIBR	CEO	OR	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
CENTRAL RAPPAHANNOCK REG LIBR	RR1	VA	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
CENTRAL WASHINGTON UNIV LIBR	CWU	WA	Academic	11	11	0	3	3	0	8	0	0:00:00	0:00:00	0:00:00
CHARLESTON CNTY LIBR	SXC	SC	Public	3	3	0	2	2	0	1	0	1:00:00	1:00:00	0:00:00
CHARLESTON SCH OF LAW	CSCOL	SC	Law Libraries	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
CHESTER CNTY LIBR & DIST CTR	PWC	PA	Public	3	3	0	2	2	0	1	0	2:00:00	2:00:00	0:00:00
CHESTNUT HILL COLL LOGUE LIBR	CHE	PA	Academic	1	1	0	1	1	0	0	0	1:00:00	1:00:00	0:00:00
CHICAGO PUB LIBR	CGP	IL	Public	6	6	0	4	4	0	2	0	1:18:00	1:18:00	0:00:00
CITY OF COOS BAY-ESO	BAY	OR	Public	8	8	0	0	0	0	8	0	0:00:00	0:00:00	0:00:00
CLARK COL LIBR	CCV	WA	Academic	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
CLEBURNE PUB LIBR	T8C	TX	Public	2	0	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
CLEMSON UNIV	SEA	SC	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
CLEVELAND STATE UNIV	CSU	OH	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
COBB CNTY PUB LIBR SYST	ZGJ	GA	Public	3	3	0	1	1	0	2	0	0:00:00	0:00:00	0:00:00
COEUR D'ALENE PUB LIBR	ZVR	ID	Public	31	31	0	20	20	0	12	0	1:01:12	1:01:12	0:00:00
COL OF SOUTHERN NEVADA	NVA	NV	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
COLGATE UNIV	VVC	NY	Academic	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
COLLEGE OF CHARLESTON	SBM	SC	Academic	1	1	0	1	1	0	0	0	1:00:00	1:00:00	0:00:00
COLLEGE OF THE HOLY CROSS	HCD	MA	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
COLLEYVILLE PUB LIBR	COLBT	TX	Public	0	0	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
COLORADO MESA UNIV	COM	CO	Academic	1	1	0	1	1	0	0	0	3:00:00	3:00:00	0:00:00
COLUMBIA CNTY RURAL LIBR	WACCR	WA	Public	2	2	0	2	2	0	1	0	2:12:00	2:12:00	0:00:00
COLUMBIA UNIV IN THE CITY OF NEW YORK	ZCU	NY	Academic	2	2	0	1	1	0	1	0	4:00:00	4:00:00	0:00:00
COLUMBUS METROP LIBR	OCO	OH	Public	3	3	0	2	2	0	1	0	0:12:00	0:12:00	0:00:00
COMMUNITY COLL OF RHODE ISLAND LRC	CCW	RI	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
COMMUNITY COLLEGES OF SPOKANE	BV1	WA	Academic	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
COMMUNITY LIBR NETWORK	K#T	ID	Public	13	13	0	6	6	0	7	0	0:07:55	0:07:55	0:00:00
COMMUNITY LIBR NETWORK@POST FALLS	P9F	ID	Public	3	3	0	1	1	0	2	0	0:00:00	0:00:00	0:00:00
CONCORDIA UNIV IRVINE LIBR	C5U	CA	Academic	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
CONCORDIA UNIV LIBR	CDN	QC	Academic	12	12	0	5	5	0	7	0	0:00:00	0:00:00	0:00:00
CONNECTICUT COL	CTL	CT	Academic	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
COOK MEM PUB LIBR DIST	JBI	IL	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
CORBAN UNIV LIBR	OOY	OR	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
CORNISH COL OF THE ARTS	R@C	WA	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
COUNCIL BLUFFS PUB LIBR	IWB	IA	Public	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
COZBY LIBR & COM COMMONS	WT2	TX	Public	2	0	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
CROOK CNTY LIBR	CCLIB	OR	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
CRYSTAL LAKE PUB LIBR	GK7	IL	Public	3	3	1	2	2	0	0	0	0:00:00	0:00:00	0:00:00
DANIEL BOONE REG LIBR	ZAB	MO	Public	2	2	0	1	1	0	1	0	0:00:00	0:00:00	0:00:00
DAVIS CNTY LIBR	UTD	UT	Public	7	7	0	1	1	0	6	0	0:00:00	0:00:00	0:00:00
DAYTON METRO LIBR	DMM	OH	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
DELAWARE CNTY LIBR SYST	DEL	PA	Public	4	4	0	1	1	0	3	0	0:00:00	0:00:00	0:00:00
DENNY ASHBY MEM LIBR	D#N	WA	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
DENTON PUB LIBR	QS3	TX	Public	6	0	0	2	2	0	4	0	0:12:00	0:12:00	0:00:00
DENVER PUB LIBR	DPL	CO	Public	7	7	0	4	4	0	3	0	1:06:00	1:06:00	0:00:00
DES MOINES PUB LIBR	IOU	IA	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
DES PLAINES PUB LIBR	GK8	IL	Public	5	5	0	6	6	0	0	0	1:19:55	1:19:55	0:00:00
DESCHUTES PUB LIBR	DCH	OR	Public	13	13	0	7	7	0	6	0	0:06:58	0:06:58	0:00:00
DICKINSON AREA PUB LIBR	DIP	ND	Public	3	3	1	1	1	0	1	0	1:00:00	1:00:00	0:00:00
DICKINSON COL	DKC	PA	Academic	5	5	0	1	1	0	4	0	0:00:00	0:00:00	0:00:00
DOVER PUB LIBR	DOV	DE	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
DRIFTWOOD PUB LIBR	ORDRI	OR	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
DUCHESNE CNTY LIBR - ROOSEVELT	DCRSV	UT	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
DUKE UNIV LIBR	NDD	NC	Academic	5	5	0	2	2	0	3	0	0:00:00	0:00:00	0:00:00
DUSTIN MICHAEL SEKULA MEM LIBR	TX5	TX	Public	1	0	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
EAST BONNER CNTY LIBR	E4B	ID	Public	8	8	0	0	0	0	8	0	0:00:00	0:00:00	0:00:00
EASTERN ILLINOIS UNIV	IAD	IL	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
EASTERN MICHIGAN UNIV LIBR	EYE	MI	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
EASTERN OKLAHOMA DIST LIBR	OEA	OK	Public	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
EASTERN WASHINGTON UNIV	WEA	WA	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
EASTON AREA PUB LIBR	EAP	PA	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
EDGEWOOD COLL	WOP	WI	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
EL CAMPO BRANCH LIBR	TXELC	TX	Public	1	0	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
ELGIN COM COLL LIBR	JCV	IL	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
ELKHART PUB LIBR	IEB	IN	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
ELMHURST PUB LIBR	JBU	IL	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
EMANUEL HOSP, MED LIBR	OQF	OR	Corporate	1	1	0	1	1	0	0	0	1:00:00	1:00:00	0:00:00
EMORY UNIV	EMU	GA	Major Academic Research	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
EMPORIA PUB LIBR	EP2	KS	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
EMPORIA STATE UNIV	KKR	KS	Academic	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
ENOCH PRATT FREE LIBR	MDB	MD	Public	12	12	0	0	0	0	12	0	0:00:00	0:00:00	0:00:00
EPHRAIM PUB LIBR	RE1	UT	Public	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
ERASMUS UNIVERSITEIT ROTTERDAM	QGQ	EU	Academic	2	2	0	1	1	0	1	0	1:00:00	1:00:00	0:00:00
EULESS PUB LIBR	T7X	TX	Public	1	0	0	1	1	0	0	0	2:00:00	2:00:00	0:00:00
EVANSTON PUB LIBR	IHE	IL	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
EVANSVILLE VANDERBURGH PUB LIBR	IEP	IN	Public	2	2	0	2	2	0	0	0	0:00:00	0:00:00	0:00:00
EVERETT PUB LIBR	UAI	WA	Public	5	5	0	1	1	0	5	0	0:00:00	0:00:00	0:00:00
FAIRFIELD PUB LIBR	F@T	MT	Public	2	2	0	1	1	0	1	0	0:00:00	0:00:00	0:00:00
FARGO PUB LIBR	NFG	ND	Public	0	0	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
FAUQUIER CNTY PUB LIBR	PDK	VA	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
FERGUSON LIBR	FEM	CT	Public	3	3	0	1	1	0	2	0	0:00:00	0:00:00	0:00:00
FINDLAY HANCOCK PUB LIBR	FPL	OH	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
FINGER LAKES LIBR SYST	VYG	NY	Public	3	3	0	0	0	0	3	0	0:00:00	0:00:00	0:00:00
FLAGLER COLL ST AUGUSTINE	FFC	FL	Academic	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
FLATHEAD CNTY LIBR	MZC	MT	Public	2	2	0	1	1	0	1	0	0:00:00	0:00:00	0:00:00
FLATHEAD VAL COMMUN COL LIBR	Y72	MT	Academic	1	1	0	1	1	0	0	0	2:00:00	2:00:00	0:00:00
FOREST GROVE PUB LIBR	ORI	OR	Public	3	3	0	0	0	0	3	0	0:00:00	0:00:00	0:00:00
FORSYTH CNTY PUB LIBR	Y32	GA	Public	3	3	0	2	2	0	1	0	0:12:00	0:12:00	0:00:00
FORT BEND CNTY LIBRS	FTX	TX	Public	4	0	0	3	3	0	1	0	0:07:55	0:07:55	0:00:00
FORT VANCOUVER REG LIBR	YEP	WA	Public	15	15	0	8	8	0	7	0	0:03:07	0:03:07	0:00:00
FORT WORTH PUB LIBR	IFA	TX	Public	2	0	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
FRANKLIN PARK PUB LIBR DIST	JZD	IL	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
FRISCO PUB LIBR	FHP	TX	Public	7	0	0	0	0	0	7	0	0:00:00	0:00:00	0:00:00
FULTON CNTY LIBR SYST	GAP	GA	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
GAIL BORDEN PUB LIBR DIST	IF9	IL	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
GARDEN HOME COMMUN LIBR	O2G	OR	Public	0	0	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
GARDNER-WEBB UNIV	NGW	NC	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
GEORGE WASHINGTON UNIV	DGW	DC	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
GEORGIA COL & STATE UNIV	GGC	GA	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
GEORGIA STATE UNIV LIBR	GSU	GA	Academic	3	3	0	1	1	0	2	0	1:00:00	1:00:00	0:00:00
GERMANTOWN PUB LIBR	G8T	OH	Public	2	2	0	1	1	0	1	0	0:00:00	0:00:00	0:00:00
GETTYSBURG COL	GDC	PA	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
GLEN ELLYN PUB LIBR	JCW	IL	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
GONZAGA UNIV	WUG	WA	Academic	5	5	0	0	0	0	5	0	0:00:00	0:00:00	0:00:00
GONZAGA UNIV SCH OF LAW, CHASTEK LIBR	OIN	WA	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
GOSHEN COLL LIBR	IGC	IN	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
GOUCHER COL	GOC	MD	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
GRAND PRAIRIE PUB LIBR SYST	TXGPM	TX	Public	1	0	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
GRANTS PUB LIBR	DV2	NM	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
GRANTSVILLE PUB LIBR	UTGRA	UT	Public	0	0	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
GRAYSON CNTY PUB LIBR	KF7	KY	Public	2	2	0	1	1	0	1	0	0:00:00	0:00:00	0:00:00
GREAT RIVER REG LIBR	GRR	MN	Public	4	4	0	4	4	0	0	0	2:12:00	2:12:00	0:00:00
GREENE CNTY PUB LIBR	GRC	OH	Public	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
GREENVILLE CNTY LIBR	SGR	SC	Public	5	5	0	3	3	0	3	0	0:16:05	0:16:05	0:00:00
HALTOM CITY PUB LIB	HACPL	TX	Public	1	0	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
HAMPSHIRE COL	HAM	MA	Academic	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
HAMPTON PUB LIBR	VAJ	VA	Public	3	3	0	3	3	0	0	0	1:00:00	1:00:00	0:00:00
HARRIS CNTY PUB LIBR	HT#	TX	Public	13	0	0	3	3	0	10	0	2:00:00	2:00:00	0:00:00
HARVARD UNIV	HUL	MA	Academic	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
HAVRE-HILL CNTY LIBR	YVZ	MT	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
HELEN HALL LIBR	T7L	TX	Public	1	0	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
HENDERSON DIST PUB LIBR	H4N	NV	Public	3	3	0	1	1	0	2	0	4:00:00	4:00:00	0:00:00
HENNEPIN CNTY LIBR	HCO	MN	Public	2	2	0	1	1	0	1	0	1:00:00	1:00:00	0:00:00
HERTFORDSHIRE CNTY COUN	HAF	EU	Public	1	1	0	1	1	0	0	0	2:00:00	2:00:00	0:00:00
HIGH PLAINS LIBR DIST	SO$	CO	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
HIGHLAND PARK PUB LIBR	IHV	IL	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
HILLSBORO PUB LIBR	OOV	OR	Public	6	6	0	6	6	0	1	0	0:16:05	0:16:05	0:00:00
HINSDALE PUB LIBR	TL9	IL	Public	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
HOBART & WILLIAM SMITH COL	ZEM	NY	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
HOOD CNTY LIBR	T3Q	TX	Public	1	0	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
HOOD RIVER CNTY LIBR DIST	OR4	OR	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
HOUSTON ACDY OF MED TEXAS MEDL CTR LIBR	TMC	TX	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
HOUSTON PUB LIBR	TXN	TX	Public	8	0	0	2	2	0	6	0	0:00:00	0:00:00	0:00:00
HOWARD CNTY LIBR SYST	HO$	MD	Public	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
HUNTER COL	ZHM	NY	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
HUNTERDON CNTY LIBR	HUN	NJ	Public	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
IDAHO STATE UNIV LIBR	ONB	ID	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
IFLS LIBR SYST	GHI	WI	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
